typo	tf	df	sdf	correct	tf	df	sdf
eskirim	0	0	0	eskrim	0	0	0
hukuğun	0	0	0	hukukun	0	0	0
hemşeri	0	0	0	hemşehri	0	0	0
yannız	0	0	0	yalnız	39	3	3
lağbo	0	0	0	lavabo	0	0	0
deyinmek	0	0	0	değinmek	1	1	1
usül	0	0	0	usul	8	4	4
zerafet	0	0	0	zarafet	2	2	2
mahlukatlar	0	0	0	mahlukat	0	0	0
motorsiklet	0	0	0	motosiklet	0	0	0
profütür	0	0	0	profiterol	0	0	0
egzos	0	0	0	egzoz	2	1	1
itibariyle	0	0	0	itibarıyla	5	1	1
salomance	0	0	0	salamanje	0	0	0
kontür	0	0	0	kontör	1	1	1
tetanoz	0	0	0	tetanos	0	0	0
biodizel	0	0	0	biyodizel	0	0	0
gardolap	0	0	0	gardırop	0	0	0
teşebüs	0	0	0	teşebbüs	0	0	0
eksozt	0	0	0	egzoz	2	1	1
kaysı	0	0	0	kayısı	0	0	0
çukulata	0	0	0	çikolata	0	0	0
megolaman	0	0	0	megaloman	0	0	0
lavobo	0	0	0	lavabo	0	0	0
seyehat	0	0	0	seyahat	13	4	4
gangaster	0	0	0	gangster	0	0	0
kaparo	0	0	0	kapora	0	0	0
maydonoz	0	0	0	maydanoz	1	1	1
entrasan	0	0	0	enteresan	0	0	0
bisküüt	0	0	0	bisküvi	0	0	0
azarbeycan	0	0	0	azerbaycan	28	4	4
şanzuman	0	0	0	şanzıman	0	0	0
azerbeycan	0	0	0	azerbaycan	28	4	4
münübüs	0	0	0	minibüs	0	0	0
kalemşör	0	0	0	kalemşor	0	0	0
menejer	0	0	0	menajer	0	0	0
ötenazi	0	0	0	ötanazi	0	0	0
sandoviç	0	0	0	sandviç	0	0	0
deyil	0	0	0	değil	119	3	3
ahpab	0	0	0	ahbap	1	1	1
pisküvi	0	0	0	bisküvi	0	0	0
mentalite	0	0	0	mantalite	0	0	0
törörist	0	0	0	terörist	0	0	0
mefta	0	0	0	mevta	0	0	0
kırahathane	0	0	0	kıraathane	0	0	1
sohpet	0	0	0	sohbet	5	2	2
kontur	0	0	0	kontör	1	1	1
ceryan	0	0	0	cereyan	1	1	1
