typo	tf	df	sdf	correct	tf	df	sdf
aliminyum	0	0	0	alüminyum	0	0	0
mahsuz	0	0	0	mahsus	3	2	2
diyaloga	0	0	0	diyaloğa	25	2	2
viyolo	0	0	0	viyola	0	0	0
vürüs	0	0	0	virüs	0	0	1
aporlor	0	0	0	hoparlör	2	1	1
statyum	0	0	0	stadyum	0	0	0
yannış	0	0	0	yanlış	564	14	14
muaffak	0	0	0	muvaffak	0	0	0
parlementer	0	0	0	parlamenter	0	0	1
nacizane	0	0	0	naçizane	0	0	0
parelel	0	0	0	paralel	46	14	14
istihbaratlar	0	0	0	istihbarat	0	0	0
karemel	0	0	0	karamel	0	0	0
manüpülasyon	0	0	0	manipülasyon	0	0	0
fesetmek	0	0	0	feshetmek	0	0	0
kilot	0	0	0	külot	0	0	0
herkeş	0	0	0	herkes	45	13	13
pisküüt	0	0	0	bisküvi	0	0	0
dekaratör	0	0	0	dekoratör	0	0	0
proğram	0	0	0	program	804	12	14
alobora	0	0	0	alabora	0	0	0
fermar	0	0	0	fermuar	0	0	1
pantalon	0	0	0	pantolon	0	0	0
muşanba	0	0	0	muşamba	1	1	1
süpriz	0	0	0	sürpriz	4	2	2
seramoni	0	0	0	seremoni	0	0	0
evye	0	0	0	eviye	0	0	0
şohben	0	0	0	şofben	0	0	0
aşentiyon	0	0	0	eşantiyon	0	0	0
artiz	0	0	0	artist	0	0	2
kordale	0	0	0	kurdele	3	2	3
dispirator	0	0	0	distribütör	0	0	0
aferim	0	0	0	aferin	0	0	0
mokasen	0	0	0	makosen	0	0	0
antreman	0	0	0	antrenman	0	0	0
insiyatif	0	0	0	inisiyatif	0	0	0
deyer	0	0	0	değer	157	13	14
pisiklet	0	0	0	bisiklet	12	4	5
provakatör	0	0	0	provokatör	0	0	0
dökümanter	0	0	0	dokümanter	0	0	0
yımırta	0	0	0	yumurta	12	4	7
aldırmamazlık	0	0	0	aldırmazlık	0	0	0
anotomi	0	0	0	anatomi	0	0	0
oğostos	0	0	0	ağustos	20	6	6
assubay	0	0	0	astsubay	0	0	0
meraba	0	0	0	merhaba	6	5	5
prolüfütür	0	0	0	profiterol	0	0	0
ayrıyeten	0	0	0	ayrıca	413	14	14
mazurat	0	0	0	maruzat	0	0	0
sandüviç	0	0	0	sandviç	4	1	1
akrapol	0	0	0	akropol	0	0	0
oparasyon	0	0	0	operasyon	0	0	2
gömetri	0	0	0	geometri	8	2	4
peştemal	0	0	0	peştamal	0	0	0
arefe	0	0	0	arife	0	0	0
müraccat	0	0	0	müracaat	12	4	4
mazohizm	0	0	0	mazoşizm	0	0	0
melemen	0	0	0	menemen	0	0	0
aşantiyon	0	0	0	eşantiyon	0	0	0
mütahit	0	0	0	müteahhit	0	0	0
ahlağın	0	0	0	ahlakın	0	0	1
evsane	0	0	0	efsane	28	1	2
mürivet	0	0	0	mürüvvet	2	1	1
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	0	0	0
ıskonto	0	0	0	iskonto	0	0	0
amarika	0	0	0	amerika	51	6	6
gangren	0	0	0	kangren	0	0	0
restorant	0	0	0	restoran	1	1	2
dekarasyon	0	0	0	dekorasyon	0	0	3
boğça	0	0	0	poğaça	0	0	0
muzur	0	0	0	muzır	0	0	0
layik	0	0	0	laik	1	1	1
eylenmek	0	0	0	eğlenmek	3	2	2
cimnastik	0	0	0	jimnastik	1	1	1
fortmanto	0	0	0	portmanto	0	0	0
çiflik	0	0	0	çiftlik	4	3	3
sarmısak	0	0	0	sarımsak	0	0	0
bilader	0	0	0	birader	0	0	0
egzantrik	0	0	0	eksantrik	0	0	0
pardesü	0	0	0	pardösü	0	0	0
