typo	tf	df	sdf	correct	tf	df	sdf
mürivet	0	0	0	mürüvvet	0	0	0
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	0	0	0
ıskonto	0	0	0	iskonto	3	1	1
amarika	0	0	0	amerika	43	13	20
gangren	0	0	0	kangren	0	0	0
restorant	0	0	0	restoran	2	2	5
dekarasyon	0	0	0	dekorasyon	0	0	2
boğça	0	0	0	poğaça	0	0	0
muzur	0	0	0	muzır	0	0	0
layik	0	0	0	laik	31	9	9
eylenmek	0	0	0	eğlenmek	0	0	0
cimnastik	0	0	0	jimnastik	0	0	0
fortmanto	0	0	0	portmanto	0	0	0
çiflik	0	0	0	çiftlik	17	5	5
sarmısak	0	0	0	sarımsak	0	0	0
küvöz	0	0	0	kuvöz	0	0	0
döküman	0	0	0	doküman	4	3	6
bilader	0	0	0	birader	0	0	0
karekter	0	0	0	karakter	14	10	30
egzantrik	0	0	0	eksantrik	0	0	0
pardesü	0	0	0	pardösü	0	0	0
