typo	tf	df	sdf	correct	tf	df	sdf
diyaloga	0	0	0	diyaloğa	1	1	1
viyolo	0	0	0	viyola	0	0	0
vürüs	0	0	0	virüs	1	1	1
aporlor	0	0	0	hoparlör	0	0	1
statyum	0	0	0	stadyum	1	1	1
yannış	0	0	0	yanlış	409	12	13
muaffak	0	0	0	muvaffak	0	0	0
parlementer	0	0	0	parlamenter	0	0	0
nacizane	0	0	0	naçizane	0	0	0
parelel	0	0	0	paralel	22	10	10
istihbaratlar	0	0	0	istihbarat	0	0	0
karemel	0	0	0	karamel	1	1	1
manüpülasyon	0	0	0	manipülasyon	2	1	1
fesetmek	0	0	0	feshetmek	0	0	0
filim	0	0	0	film	14	7	7
kilot	0	0	0	külot	17	2	2
herkeş	0	0	0	herkes	25	9	10
pisküüt	0	0	0	bisküvi	12	3	3
dekaratör	0	0	0	dekoratör	0	0	0
personeller	0	0	0	personel	87	7	8
alobora	0	0	0	alabora	0	0	0
fermar	0	0	0	fermuar	2	2	2
pantalon	0	0	0	pantolon	63	3	3
muşanba	0	0	0	muşamba	0	0	0
süpriz	0	0	0	sürpriz	3	3	3
seramoni	0	0	0	seremoni	0	0	0
evye	0	0	0	eviye	0	0	0
şohben	0	0	0	şofben	5	1	1
aşentiyon	0	0	0	eşantiyon	0	0	0
artiz	0	0	0	artist	0	0	1
kordale	0	0	0	kurdele	2	1	1
dispirator	0	0	0	distribütör	0	0	0
aferim	0	0	0	aferin	0	0	0
mokasen	0	0	0	makosen	0	0	0
antreman	0	0	0	antrenman	0	0	0
deyer	0	0	0	değer	180	13	13
pisiklet	0	0	0	bisiklet	4	3	4
provakatör	0	0	0	provokatör	0	0	0
dökümanter	0	0	0	dokümanter	0	0	0
yımırta	0	0	0	yumurta	182	6	6
aldırmamazlık	0	0	0	aldırmazlık	0	0	0
oğostos	0	0	0	ağustos	11	10	10
assubay	0	0	0	astsubay	0	0	0
meraba	0	0	0	merhaba	0	0	0
prolüfütür	0	0	0	profiterol	0	0	0
ayrıyeten	0	0	0	ayrıca	294	13	13
mazurat	0	0	0	maruzat	0	0	0
sandüviç	0	0	0	sandviç	4	4	4
akrapol	0	0	0	akropol	0	0	0
oparasyon	0	0	0	operasyon	0	0	0
gömetri	0	0	0	geometri	0	0	3
peştemal	0	0	0	peştamal	1	1	1
arefe	0	0	0	arife	0	0	0
müraccat	0	0	0	müracaat	0	0	1
mazohizm	0	0	0	mazoşizm	1	1	1
melemen	0	0	0	menemen	0	0	0
aşantiyon	0	0	0	eşantiyon	0	0	0
naturel	0	0	0	natürel	0	0	0
kurdela	0	0	0	kurdele	2	1	1
mütahit	0	0	0	müteahhit	1	1	1
ahlağın	0	0	0	ahlakın	0	0	1
evsane	0	0	0	efsane	0	0	0
mürivet	0	0	0	mürüvvet	0	0	0
ahçı	0	0	0	aşçı	3	3	3
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	4	1	1
ıskonto	0	0	0	iskonto	0	0	0
amarika	0	0	0	amerika	28	11	11
gangren	0	0	0	kangren	0	0	0
dekarasyon	0	0	0	dekorasyon	6	6	6
boğça	0	0	0	poğaça	3	3	3
muzur	0	0	0	muzır	0	0	0
layik	0	0	0	laik	2	1	1
eylenmek	0	0	0	eğlenmek	0	0	0
cimnastik	0	0	0	jimnastik	1	1	1
fortmanto	0	0	0	portmanto	0	0	0
çiflik	0	0	0	çiftlik	0	0	0
sarmısak	0	0	0	sarımsak	16	4	4
küvöz	0	0	0	kuvöz	0	0	0
bilader	0	0	0	birader	0	0	0
egzantrik	0	0	0	eksantrik	0	0	0
